"Nivåer vv"	"7PCBs"	"ΣDDTs"	"ΣHCHs"	"HCB"	"TNC"	"Norm.til fiskevekt:"	"Year"	"PCB7/wish weight"	"SumDDT/fish weight"	"SumHCH/fish weight"	"HCB/fish weight"	"TNC/fish weight"		"levervekt"	"LSI"	"fett %"
"1998cod11"	203.975	169.34	3.727	17.422	50.508		1998	0.316240310077519	0.262542635658915	0.005778294573643	0.027010852713178	0.078306976744186				31.4517067494182
"1998cod12"	127.182	127.909	4.429	18.929	42.228		1998	0.105985	0.106590833333333	0.003690833333333	0.015774166666667	0.03519				38.343628008104
"1998cod13"	108.912	106.612	3.65	13.203	36.757		1998	0.224560824742268	0.219818556701031	0.007525773195876	0.027222680412371	0.075787628865979				27.5120151463663
"1998cod14"	81.028	70.009	5.167	13.328	28.144		1998	0.120041481481481	0.103717037037037	0.007654814814815	0.019745185185185	0.041694814814815				45.1652063243428
"1998cod15"	131.238	94.154	2.146	5.662	37.614		1998	0.117176785714286	0.084066071428572	0.001916071428571	0.005055357142857	0.033583928571429				16.9265660809779
"1998cod16"	153.38	103.275	5.322	21.998	40.102		1998	0.161452631578947	0.108710526315789	0.005602105263158	0.023155789473684	0.042212631578947				47.396989288816
"1998cod17"	203.568	206.765	4.447	22.331	81.091		1998	0.1628544	0.165412	0.0035576	0.0178648	0.0648728				32.4855619724567
"1998cod18"	97.481	68.424	3.918	11.735	32.024		1998	0.153513385826772	0.107754330708661	0.006170078740157	0.01848031496063	0.050431496062992				31.1253296864316
"1998cod19"	131.672	98.387	3.02	6.305	39.263		1998	0.1744	0.130313907284768	0.004	0.008350993377483	0.052003973509934				23.0555690248752
"1998cod20"	168.937	159.122	4.382	11.321	46.924		1998	0.156423148148148	0.147335185185185	0.004057407407407	0.010482407407407	0.043448148148148				36.9251687466615
"1998cod21"	143.221	113.831	0.912	4.96	47.554		1998	0.236728925619835	0.18815041322314	0.001507438016529	0.008198347107438	0.078601652892562				7.48278218810787
"1998cod22"	151.411	96.415	1.229	3.701	31.444		1998	0.18926375	0.12051875	0.00153625	0.00462625	0.039305				9.49965863649663
"1998cod23"	258.548	161.718	5.73	24.555	38.309		1998	0.307795238095238	0.192521428571429	0.006821428571429	0.029232142857143	0.045605952380952				50.543514504835
"1998cod24"	152.251	156.725	0.912	9.435	51.079		1998	0.111132116788321	0.114397810218978	0.000665693430657	0.006886861313869	0.03728394160584				7.61802783996886
"2000cod1"	90.8691835403442	91.2592366037443	2.56126733124256	18.2963962554932	37.4680557250977		2000	0.199274525307772	0.200129904832773	0.0056168143229	0.040123675998889	0.082166788870828				28.9467223177019
"2000cod2"	51.8573824750201	59.4768223720621	2.62313768267632	13.75	20.6418085098267		2000	0.173436061789365	0.198919138368101	0.008773035728014	0.045986622073579	0.069036148862297				26.7414927080354
